subject,Cell Biology,Medical & Pharmaceutical Terminology,Pharmacy Orientation,English Language,Pharmaceutical Analytical Chemistry 2,Pharmaceutical Organic Chemistry 2,Pharmacognosy 1,Physical Pharmacy,Histology,Anatomy,Behavioral Science,Information Technology,Mathematics,Human Rights and Fighting Corruption,Principles of Negotiations,Communication & Presentation Skills,Pharmaceutical Dosage Forms (2),Instrumental Analysis,Pharmaceutical Dosage Forms (1),Pharmaceutical Organic Chemistry (3),Pharmacology (1),Biochemistry (2),General Microbiology & Immunology,Medicinal Chemistry (1),Community Pharmacy Practice,Phytochemistry (2),Biopharmaceutics & Pharmacokinetics,Parasitology,Management of Oncological Diseases,Clinical Pharmacokinetics,Clinical Biochemistry,Public Health & Preventive Medicine,Drug Marketing & Pharmacoeconomics,Drug Design & Development,Cosmetic Preparations,Medicinal Chemistry (2),Clinical Research & Pharmacovigilance,Drug Information,Entrepreneurship,Industrial Pharmacy,Phytotherapy,Clinical Nutrition,Management of Cardiovascular Diseases,Management of Neuropsychiatric Diseases,Basic & Clinical Toxicology,Novel Drug Delivery Systems,
,Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 2 ),Level( 2 ),Level( 2 ),Level( 2 ),Level( 2 ),Level( 2 ),Level( 2 ),Level( 2 ),Level( 2 ),Level( 3 ),Level( 3 ),Level( 3 ),Level( 3 ),Level( 3 ),Level( 4 ),Level( 4 ),Level( 4 ),Level( 4 ),Level( 4 ),Level( 4 ),Level( 4 ),Level( 4 ),Level( 4 ),Level( 4 ),Level( 5 ),Level( 5 ),Level( 5 ),Level( 5 ),Level( 5 ),Level( 5 ),Level( 5 ),Level( 5 ),
Cell Biology,_,29,31,6,4,16,8,60,,13,26,12,,4,1,,,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,
Medical & Pharmaceutical Terminology,29,_,46,3,,59,42,64,40,11,42,20,7,2,2,2,1,,6,2,7,3,10,,,,2,4,,,,1,1,,,,,,,,,,,,,,
Pharmacy Orientation,31,46,_,3,,30,14,44,21,8,23,18,4,3,3,3,3,,8,4,5,5,10,,,1,1,4,,1,,2,2,,,,,,,,,,,,,,
English Language,6,3,3,_,,2,,7,1,,5,1,2,5,,,,1,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,
Pharmaceutical Analytical Chemistry 2,4,,,,_,16,13,18,12,5,7,,4,1,,1,3,,3,1,5,1,5,,,,2,4,,,,1,1,,,,2,,,,,,,,,,
Pharmaceutical Organic Chemistry 2,16,59,30,2,16,_,72,82,46,8,47,12,13,3,5,6,1,4,7,,8,3,11,,,,,3,,,,1,,,,,,1,1,,,,,,,,
Pharmacognosy 1,8,42,14,,13,72,_,62,34,6,25,8,10,1,3,6,,5,3,1,15,2,18,,,,,1,,,,,,,,,,1,,,,,,,,,
Physical Pharmacy,60,64,44,7,18,82,62,_,30,21,54,17,13,6,4,2,,,,,2,,5,,,,,,,,,,,,,,,,,,,,,,,,
Histology,,40,21,1,12,46,34,30,_,4,42,10,15,,3,11,8,5,10,6,8,,15,2,1,1,,8,,,2,2,2,,,,,,,,1,1,,,,,
Anatomy,13,11,8,,5,8,6,21,4,_,8,3,2,2,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Behavioral Science,26,42,23,5,7,47,25,54,42,8,_,5,9,5,3,4,,4,,5,4,2,10,,2,3,5,1,,,,,,,,1,,,,,1,1,,,,,
Information Technology,12,20,18,1,,12,8,17,10,3,5,_,1,,1,2,1,,,2,,,,,,,1,,,,,1,,,,,,,,,,,,,,,
Mathematics,,7,4,2,4,13,10,13,15,2,9,1,_,3,7,5,3,5,8,4,11,,19,,,,,1,,1,,,,,,,,,,,,,,,,,
Human Rights and Fighting Corruption,4,2,3,5,1,3,1,6,,2,5,,3,_,,,,,,1,3,1,3,,,,,,,1,1,,,,1,,,,1,,,,,,,,
Principles of Negotiations,1,2,3,,,5,3,4,3,,3,1,7,,_,3,4,,7,6,14,5,19,,,1,3,3,,1,,1,,1,,,,,1,,,,,,,1,
Communication & Presentation Skills,,2,3,,1,6,6,2,11,,4,2,5,,3,_,4,7,10,,13,4,22,,2,,1,4,,1,1,1,1,,,,1,,1,,,,,,,1,
Pharmaceutical Dosage Forms (2),,1,3,,3,1,,,8,,,1,3,,4,4,_,3,,8,9,2,14,1,3,1,2,,,,1,,,,,,5,,,,1,,,,,1,
Instrumental Analysis,,,,1,,4,5,,5,,4,,5,,,7,3,_,7,10,9,5,9,1,,1,3,1,1,,,1,1,,,,2,2,1,,,,,,,,
Pharmaceutical Dosage Forms (1),,6,8,,3,7,3,,10,1,,,8,,7,10,,7,_,12,14,5,12,4,4,1,7,6,,1,,,,,,,5,,5,,,,,,,1,
Pharmaceutical Organic Chemistry (3),1,2,4,,1,,1,,6,1,5,2,4,1,6,,8,10,12,_,13,8,9,2,7,3,11,,,1,,5,4,,,1,4,3,,,,,,,,,
Pharmacology (1),,7,5,3,5,8,15,2,8,1,4,,11,3,14,13,9,9,14,13,_,24,68,1,,,1,9,,,,,1,1,,,3,1,,,,,,,,2,
Biochemistry (2),,3,5,,1,3,2,,,,2,,,1,5,4,2,5,5,8,24,_,21,1,1,5,,7,,,,1,3,,,,,2,1,,,,1,,,,
General Microbiology & Immunology,,10,10,1,5,11,18,5,15,,10,,19,3,19,22,14,9,12,9,68,21,_,,1,,,5,,,,1,,,1,,2,,,,,,,,,1,
Medicinal Chemistry (1),,,,,,,,,2,,,,,,,,1,1,4,2,1,1,,_,2,,1,5,1,,1,2,4,,1,,2,1,,,,1,,,,,
Community Pharmacy Practice,,,,,,,,,1,,2,,,,,2,3,,4,7,,1,1,2,_,9,14,12,1,,,7,10,1,1,7,9,4,5,2,1,,,,1,1,
Phytochemistry (2),,,1,,,,,,1,,3,,,,1,,1,1,1,3,,5,,,9,_,7,5,,,,1,3,1,,1,1,2,2,,,,2,,,,
Biopharmaceutics & Pharmacokinetics,,2,1,,2,,,,,,5,1,,,3,1,2,3,7,11,1,,,1,14,7,_,8,,,,3,7,,,1,,3,4,,1,2,,,,,
Parasitology,,4,4,,4,3,1,,8,,1,,1,,3,4,,1,6,,9,7,5,5,12,5,8,_,,3,1,6,12,2,,2,4,2,,1,,1,1,,,3,
Management of Oncological Diseases,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,_,,1,2,2,,3,1,,,,1,1,4,,1,2,1,
Clinical Pharmacokinetics,,,1,,,,,,,,,,1,1,1,1,,,1,1,,,,,,,,3,,_,4,2,5,,2,,2,2,2,,,1,,,,1,
Clinical Biochemistry,1,,,,,,,,2,,,,,1,,1,1,,,,,,,1,,,,1,1,4,_,1,5,,2,,2,2,1,,,,,,,,
Public Health & Preventive Medicine,1,1,2,,1,1,,,2,,,1,,,1,1,,1,,5,,1,1,2,7,1,3,6,2,2,1,_,16,,,2,2,,1,,,,,,,2,
Drug Marketing & Pharmacoeconomics,1,1,2,,1,,,,2,,,,,,,1,,1,,4,1,3,,4,10,3,7,12,2,5,5,16,_,,,4,5,3,2,,,2,,,1,1,
Drug Design & Development,,,,,,,,,,,,,,,1,,,,,,1,,,,1,1,,2,,,,,,_,,,1,,,,,,1,,,2,
Cosmetic Preparations,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,,,,3,2,2,,,,_,1,1,,3,,2,3,,1,1,1,
Medicinal Chemistry (2),,,,,,,,,,,1,,,,,,,,,1,,,,,7,1,1,2,1,,,2,4,,1,_,2,1,3,1,,,,,1,1,
Clinical Research & Pharmacovigilance,,,,,2,,,,,,,,,,,1,5,2,5,4,3,,2,2,9,1,,4,,2,2,2,5,1,1,2,_,2,1,,1,,,,,,
Drug Information,,,,,,1,1,,,,,,,,,,,2,,3,1,2,,1,4,2,3,2,,2,2,,3,,,1,2,_,,,,1,,,,,
Entrepreneurship,,,,,,1,,,,,,,,1,1,1,,1,5,,,1,,,5,2,4,,,2,1,1,2,,3,3,1,,_,,1,1,1,1,1,3,
Industrial Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,,,,,,,1,,,,_,1,,,1,1,,
Phytotherapy,,,,,,,,,1,,1,,,,,,1,,,,,,,,1,,1,,1,,,,,,2,,1,,1,1,_,3,,3,2,,
Clinical Nutrition,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,2,1,4,1,,,2,,3,,,1,1,,3,_,,1,2,2,
Management of Cardiovascular Diseases,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,1,,,,,,1,,,,,1,,,,_,1,,2,
Management of Neuropsychiatric Diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,1,3,1,1,_,3,,
Basic & Clinical Toxicology,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,1,,1,1,,,1,1,2,2,,3,_,,
Novel Drug Delivery Systems,,,,,,,,,,,,,,,1,1,1,,1,,2,,1,,1,,,3,1,1,,2,1,2,1,1,,,3,,,2,2,,,_,
