subject,Mathematics,Cell Biology,Medical & Pharmaceutical Terminology,Human Rights and Fighting Corruption,Pharmacy Orientation,English Language,Pharmaceutical Organic Chemistry 2,Pharmacognosy 1,Physical Pharmacy,Histology,Anatomy,Behavioral Science,Information Technology,Pharmaceutical Organic Chemistry 3,General Microbiology and Immunology,Dosage Forms 1,Communication & Presentation Skills,Dosage Forms 2,Pharmacology (1),Phytochemistry (2),Biochemistry (2),Medicinal Chemistry (1),Parasitology,Principles of Negotiations,Cosmetic Preparations,Biopharmaceutics & Pharmacokinetics,Medicinal Chemistry (2),Public Health & Preventive Medicine,Toxicology & forensic Chemistry,Pharmacotherapy (1),Drug Marketing & Pharmacoeconomics,Clinical Research & Pharmacovigilance,Clinical Nutrition,Clinical Biochemistry,Industrial Pharmacy,Clinical Pharmacokinetics,Entrepreneurship,"Management of Neurological, Psychiatric and Respiratory Diseases",Novel Drug Delivery Systems,Phytotherapy,Drug Design & Development,Drug Information,,
,Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 1 ),Level( 2 ),Level( 2 ),Level( 2 ),Level( 2 ),Level( 2 ),Level( 3 ),Level( 3 ),Level( 3 ),Level( 3 ),Level( 3 ),Level( 3 ),Level( 3 ),Level( 4 ),Level( 4 ),Level( 4 ),Level( 4 ),Level( 4 ),Level( 4 ),Level( 4 ),Level( 4 ),Level( 4 ),Level( 4 ),Level( 5 ),Level( 5 ),Level( 5 ),Level( 5 ),Level( 5 ),Level( 5 ),Level( 5 ),,
Mathematics,_,,1,,,,1,1,,2,,1,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,1,,
Cell Biology,,_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical & Pharmaceutical Terminology,1,,_,,2,1,1,2,,2,,2,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights and Fighting Corruption,,,,_,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Pharmacy Orientation,,,2,,_,2,1,,,1,,1,,,,,,,,2,,,2,1,,,1,1,,,1,,,,,,,,1,,,,,
English Language,,,1,,2,_,,,,1,,,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,
Pharmaceutical Organic Chemistry 2,1,,1,,1,,_,1,,5,,3,1,,2,,1,1,1,,,,1,,,2,1,2,,,,,,,,,,1,,,,,,
Pharmacognosy 1,1,,2,,,,1,_,,3,,1,1,1,2,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,
Physical Pharmacy,,,,,,,,,_,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Histology,2,,2,,1,1,5,3,1,_,,2,2,2,1,,1,1,,1,,,1,,,,,1,,,1,,,,,,,2,,,,,,
Anatomy,,,,,,,,,,,_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behavioral Science,1,,2,,1,,3,1,,2,,_,1,,1,,,,,,,,,,,,1,1,,1,,1,,,,,,1,,,,,,
Information Technology,,,,,,,1,1,,2,,1,_,1,,,1,,,,1,,,,,1,,,,,,,1,,1,,,1,,,,,,
Pharmaceutical Organic Chemistry 3,1,,,,,,,1,,2,,,1,_,,,,,1,,1,,,,1,1,2,1,,,1,,,,,,,3,1,,,1,,
General Microbiology and Immunology,,,1,,,,2,2,,1,,1,,,_,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Dosage Forms 1,,,,,,,,,,,,,,,,_,1,,1,,1,,1,,,,1,,,,,,,,,,,,1,,,,,
Communication & Presentation Skills,,,,,,,1,,,1,,,1,,1,1,_,,1,1,2,,1,,,,,,,,,,,,,,,,,,,,,
Dosage Forms 2,,,,,,,1,,,1,,,,,,,,_,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
Pharmacology (1),,,,,,,1,,,,,,,1,1,1,1,1,_,,4,1,1,1,2,6,1,2,,,3,,2,,1,,,,,,,,,
Phytochemistry (2),,,1,,2,1,,,,1,,,,,,,1,,,_,2,1,6,,2,2,2,3,,,3,,1,,,,,,,1,1,1,,
Biochemistry (2),,,,,,,,1,,,,,1,1,1,1,2,1,4,2,_,1,3,,5,,,1,,,1,,3,,,,,,,,,,,
Medicinal Chemistry (1),,,,,,,,,,,,,,,,,,,1,1,1,_,2,,,1,,2,2,,2,1,2,,1,1,1,3,1,,1,2,,
Parasitology,,,,,2,1,1,,,1,,,,,,1,1,1,1,6,3,2,_,1,3,1,2,2,,,3,1,4,,2,,,,2,,,,,
Principles of Negotiations,,,,,1,1,,,,,,,,,,,,,1,,,,1,_,,,1,,,,,,,,,,,,1,,,,,
Cosmetic Preparations,,,,,,,,,,,,,,1,,,,,2,2,5,,3,,_,1,1,1,,1,,1,2,1,,1,2,2,,,,,,
