#,Subject,Subject Code,Number in Course,Total,Program
1,Behavioral Science,MD-127,116,116,PharmD Clinical
2,Pharmaceutical Analytical Chemistry 2,PC-121,49,49,PharmD Clinical
3,Cell Biology,MD-114,67,67,PharmD Clinical
4,Pharmaceutical Organic Chemistry 2,PC-122,185,185,PharmD Clinical
5,Anatomy,MD-126,28,28,PharmD Clinical
6,Pharmacognosy 1,PG-123,155,155,PharmD Clinical
7,Pharmaceutical Organic Chemistry (3),PC-215,54,54,PharmD Clinical
8,Histology,MD-125,121,121,PharmD Clinical
9,Instrumental Analysis,PC-211,39,39,PharmD Clinical
10,General Microbiology & Immunology,PM-223,124,124,PharmD Clinical
11,Biochemistry (2),PB-222,54,54,PharmD Clinical
12,Pharmacology (1),PL-221,119,119,PharmD Clinical
13,English Language,UM-117,14,14,PharmD Clinical
14,Mathematics,NP-128,49,49,PharmD Clinical
15,Physical Pharmacy,PT-124,181,181,PharmD Clinical
16,Pharmacy Orientation,PP-116,84,84,PharmD Clinical
17,Communication & Presentation Skills,NP-226,38,38,PharmD Clinical
18,Principles of Negotiations,UE-002,32,32,PharmD Clinical
19,Medical & Pharmaceutical Terminology,PL-115,134,134,PharmD Clinical
20,Pharmaceutical Dosage Forms (2),PT-224,32,32,PharmD Clinical
21,Clinical Nutrition,PB-516,10,10,PharmD Clinical
22,Pharmaceutical Dosage Forms (1),PT-214,53,53,PharmD Clinical
23,Biopharmaceutics & Pharmacokinetics,PT-323,39,39,PharmD Clinical
24,Drug Marketing & Pharmacoeconomics,PP-415,32,32,PharmD Clinical
25,Public Health & Preventive Medicine,MD-426,21,21,PharmD Clinical
26,Human Rights and Fighting Corruption,UM-118,13,13,PharmD Clinical
27,Community Pharmacy Practice,PP-315,48,48,PharmD Clinical
28,Clinical Research & Pharmacovigilance,PP-417,19,19,PharmD Clinical
29,Information Technology,NP-119,31,31,PharmD Clinical
30,Medicinal Chemistry (1),PC-321,13,13,PharmD Clinical
31,Clinical Biochemistry,PB-423,9,9,PharmD Clinical
32,Drug Design & Development,PC-004,4,4,PharmD Clinical
33,Phytochemistry (2),PG-322,21,21,PharmD Clinical
34,Basic & Clinical Toxicology,PL-511,6,6,PharmD Clinical
35,Medicinal Chemistry (2),PC-411,11,11,PharmD Clinical
36,Cosmetic Preparations,PT-006,8,8,PharmD Clinical
37,Management of Oncological Diseases,PP-421,9,9,PharmD Clinical
38,Parasitology,MD-327,45,45,PharmD Clinical
39,Phytotherapy,PG-514,9,9,PharmD Clinical
40,Entrepreneurship,NP-527,14,14,PharmD Clinical
41,Management of Neuropsychiatric Diseases,PP-525,6,6,PharmD Clinical
42,Industrial Pharmacy,PT-512,6,6,PharmD Clinical
43,Drug Information,PP-416,11,11,PharmD Clinical
44,Management of Cardiovascular Diseases,PP-521,7,7,PharmD Clinical
45,Novel Drug Delivery Systems,PT-008,11,11,PharmD Clinical
46,Clinical Pharmacokinetics,PP-422,8,8,PharmD Clinical
1,Information Technology,NP-128,4,4,PharmD
2,Histology,MD-125,10,10,PharmD
3,"Management of Neurological, Psychiatric and Respiratory Diseases",PP-008,14,14,PharmD
4,Pharmaceutical Organic Chemistry 3,PC-216,7,7,PharmD
5,Pharmacognosy 1,PG-123,5,5,PharmD
6,Drug Marketing & Pharmacoeconomics,PP-426,12,12,PharmD
7,Public Health & Preventive Medicine,MD-416,12,12,PharmD
8,Clinical Research & Pharmacovigilance,PP-427,8,8,PharmD
9,Medicinal Chemistry (1),PC-321,9,9,PharmD
10,Clinical Nutrition,PB-006,10,10,PharmD
11,Toxicology & forensic Chemistry,PL-421,5,5,PharmD
12,Drug Information,PP-516,6,6,PharmD
13,Entrepreneurship,NP-528,8,8,PharmD
14,Biopharmaceutics & Pharmacokinetics,PT-413,17,17,PharmD
15,Medicinal Chemistry (2),PC-415,18,18,PharmD
16,Phytochemistry (2),PG-311,12,12,PharmD
17,Pharmacology (1),PL-322,13,13,PharmD
18,Dosage Forms 2,PT-222,2,2,PharmD
19,Biochemistry (2),PB-312,11,11,PharmD
20,Behavioral Science,MD-127,5,5,PharmD
21,Pharmacotherapy (1),PP-422,6,6,PharmD
22,Parasitology,MD-325,15,15,PharmD
23,Dosage Forms 1,PT-213,2,2,PharmD
24,Communication & Presentation Skills,NP-227,4,4,PharmD
25,Clinical Biochemistry,PB-411,3,3,PharmD
26,Cosmetic Preparations,PT-005,10,10,PharmD
27,Phytotherapy,PG-514,10,10,PharmD
28,Industrial Pharmacy,PT-412,14,14,PharmD
29,Human Rights and Fighting Corruption,UM-118,2,2,PharmD
30,Pharmaceutical Organic Chemistry 2,PC-122,9,9,PharmD
31,General Microbiology and Immunology,PM-214,5,5,PharmD
32,Mathematics,NP-119,3,3,PharmD
33,Medical & Pharmaceutical Terminology,PL-115,4,4,PharmD
34,Pharmacy Orientation,PP-116,4,4,PharmD
35,Principles of Negotiations,UE-002,2,2,PharmD
36,English Language,UM-117,2,2,PharmD
37,Novel Drug Delivery Systems,PT-004,6,6,PharmD
38,Physical Pharmacy,PT-124,1,1,PharmD
39,Clinical Pharmacokinetics,PP-522,3,3,PharmD
40,Drug Design & Development,PC-515,2,2,PharmD
