Course Code,Course Title,Semester,Has Oral Exam,Department / Supervising Department
PC-111,Pharmaceutical Analytical Chemistry (1),Level 1; Semester 1,Yes,Pharmaceutical Chemistry
PC-112,Pharmaceutical Organic Chemistry (1),Level 1; Semester 1,Yes,Pharmaceutical Chemistry
PG-113,Medicinal Plants,Level 1; Semester 1,Yes,Pharmacognosy
MD-114,Cell Biology,Level 1; Semester 1,No,"Medical Science (Supervised by Biochemistry, Microbiology and Immunology)"
PL-115,Medical & Pharmaceutical Terminology,Level 1; Semester 1,No,Pharmacology
PP-116,Pharmacy Orientation,Level 1; Semester 1,No,Pharmacy Practice
UM-117,English Language,Level 1; Semester 1,No,University Mandatory (Supervised by Pharmaceutical Chemistry)
UM-118,Human Rights and Fighting Corruption,Level 1; Semester 1,No,University Mandatory (Supervised by Pharmaceutical Chemistry)
NP-119,Information Technology,Level 1; Semester 1,No,Non-Pharmaceutical (Supervised by Pharmaceutical Chemistry)
PC-121,Pharmaceutical Analytical Chemistry (2),Level 1; Semester 2,Yes,Pharmaceutical Chemistry
PC-122,Pharmaceutical Organic Chemistry (2),Level 1; Semester 2,Yes,Pharmaceutical Chemistry
PG-123,Pharmacognosy (1),Level 1; Semester 2,Yes,Pharmacognosy
PT-124,Physical Pharmacy,Level 1; Semester 2,Yes,Pharmaceutical Technology
MD-125,Histology,Level 1; Semester 2,No,Medical Science
MD-126,Anatomy,Level 1; Semester 2,No,Medical Science (Supervised by Pharmacology and Biochemistry)
MD-127,Behavioral Science,Level 1; Semester 2,No,Medical Science (Supervised by Pharmacology and Biochemistry)
NP-128,Mathematics,Level 1; Semester 2,No,Non-Pharmaceutical (Supervised by Pharmaceutical Technology)
PC-211,Instrumental Analysis,Level 2; Semester 1,Yes,Pharmaceutical Chemistry
PB-212,Biochemistry (1),Level 2; Semester 1,Yes,Biochemistry
PG-213,Pharmacognosy (2),Level 2; Semester 1,No,Pharmacognosy
PT-214,Pharmaceutical Dosage Forms (1),Level 2; Semester 1,Yes,Pharmaceutical Technology
PC-215,Pharmaceutical Organic Chemistry (3),Level 2; Semester 1,Yes,Pharmaceutical Chemistry
MD-216,Physiology,Level 2; Semester 1,No,Medical Science
PL-221,Pharmacology (1),Level 2; Semester 2,Yes,Pharmacology
PB-222,Biochemistry (2),Level 2; Semester 2,Yes,Biochemistry
PM-223,General Microbiology & Immunology,Level 2; Semester 2,Yes,Microbiology and Immunology
PT-224,Pharmaceutical Dosage Forms (2),Level 2; Semester 2,Yes,Pharmaceutical Technology
MD-225,Pathology & Pathophysiology,Level 2; Semester 2,No,Medical Science
NP-226,Communication & Presentation Skills,Level 2; Semester 2,No,Non-Pharmaceutical (Supervised by Pharmacology and Biochemistry)
UE-00X,University Elective,Level 2; Semester 2,No,University Elective
PL-311,Pharmacology (2),Level 3; Semester 1,Yes,Pharmacology
PM-312,Pharmaceutical Microbiology,Level 3; Semester 1,Yes,Microbiology and Immunology
PT-313,Pharmaceutical Dosage forms (3),Level 3; Semester 1,Yes,Pharmaceutical Technology
PG-314,Phytochemistry (1),Level 3; Semester 1,Yes,Pharmacognosy
PP-315,Community Pharmacy Practice,Level 3; Semester 1,No,Pharmacy Practice
PC-316,Chemical Basis of Drug Action,Level 3; Semester 1,No,Pharmaceutical Chemistry
NP-317,Scientific Writing,Level 3; Semester 1,No,Non-Pharmaceutical (Supervised by Pharmaceutical Technology)
