Course Code,Course Title,Semester,Has Oral Exam,Department / Supervising Department
PC-111,Pharmaceutical Analytical Chemistry (1),Level 1; Semester 1,Yes,Pharmaceutical Chemistry
PC-112,Pharmaceutical Organic Chemistry (1),Level 1; Semester 1,Yes,Pharmaceutical Chemistry
PG-113,Medicinal Plants,Level 1; Semester 1,Yes,Pharmacognosy
MD-114,Cell Biology,Level 1; Semester 1,No,Medical Science (Supervised by Biochemistry and Microbiology and Immunology)
PL-115,Medical & Pharmaceutical Terminology,Level 1; Semester 1,No,Pharmacology
PP-116,Pharmacy Orientation,Level 1; Semester 1,No,Pharmacy Practice
UM-117,English Language,Level 1; Semester 1,No,University Mandatory
UM-118,Human Rights and Fighting Corruption,Level 1; Semester 1,No,University Mandatory
NP-119,Mathematics,Level 1; Semester 1,No,Non-Pharmaceutical (Supervised by Pharmaceutical Technology)
PC-121,Pharmaceutical Analytical Chemistry (2),Level 1; Semester 2,Yes,Pharmaceutical Chemistry
PC-122,Pharmaceutical Organic Chemistry (2),Level 1; Semester 2,Yes,Pharmaceutical Chemistry
PG-123,Pharmacognosy (1),Level 1; Semester 2,Yes,Pharmacognosy
PT-124,Physical Pharmacy,Level 1; Semester 2,Yes,Pharmaceutical Technology
MD-125,Histology,Level 1; Semester 2,No,Medical Science
MD-126,Anatomy,Level 1; Semester 2,No,Medical Science
MD-127,Behavioral Science,Level 1; Semester 2,No,Medical Science (Supervised by Pharmacology)
NP-128,Information Technology,Level 1; Semester 2,No,Non-Pharmaceutical (Supervised by Pharmaceutical Chemistry)
PC-211,Pharmaceutical Analytical Chemistry (3),Level 2; Semester 1,Yes,Pharmaceutical Chemistry
PG-212,Pharmacognosy (2),Level 2; Semester 1,Yes,Pharmacognosy
PT-213,Dosage Forms (1),Level 2; Semester 1,Yes,Pharmaceutical Technology
PM-214,General Microbiology & Immunology,Level 2; Semester 1,Yes,Microbiology and Immunology
MD-215,Physiology,Level 2; Semester 1,No,Medical Science
PC-216,Pharmaceutical Organic Chemistry (3),Level 2; Semester 1,No,Pharmaceutical Chemistry
